xcar,vcar,acar,ttccar,xped,vped,aped,ttcped,roadtype,belief
16.00622175,4.48046,-1.13013,3.572450541,5.952748029,1.25654,-0.10268,4.737412282,1,0.928571429
15.1358849,4.23782,-1.24082,3.571620525,5.703593395,1.23281,-0.09174,4.626498321,1,0.928571429
14.31579094,3.97783,-1.32006,3.598894608,5.45939248,1.21402,-0.0711,4.496954317,1,0.857142857
13.54996425,3.70916,-1.38732,3.653108589,5.217726638,1.20063,-0.04879,4.345823974,1,0.857142857
12.83427549,3.42713,-1.46471,3.744904771,4.978216092,1.19179,-0.02892,4.177091679,1,0.857142857
12.17678994,3.12531,-1.53852,3.89618628,4.739487189,1.18634,-0.01412,3.995049639,1,0.857142857
11.5799603,2.80474,-1.58561,4.12871079,4.500988873,1.18225,-0.00305,3.807137977,1,0.714285714
11.05168532,2.47547,-1.57937,4.464479603,4.263345423,1.17946,0.00779,3.614658762,1,0.571428571
10.59318698,2.15775,-1.52565,4.909367157,4.025479358,1.17807,0.0209,3.417012026,1,0.428571429
10.19316298,1.85843,-1.46263,5.484824814,3.788316647,1.17853,0.04309,3.214442269,1,0.428571429
9.849755048,1.5706,-1.402,6.271332642,3.552243984,1.18632,0.07658,2.994338782,1,0.428571429
9.560005992,1.29152,-1.334,7.402135462,3.313594381,1.20454,0.11374,2.750921,1,0.357142857
9.327084117,1.02225,-1.22887,9.124073482,3.072110917,1.23469,0.14452,2.488163763,1,0.357142857
9.149981561,0.78065,-1.07671,11.72097811,2.822433091,1.27538,0.14722,2.213013447,1,0.214285714
9.018302257,0.57995,-0.90865,15.55013752,2.562448102,1.31468,0.1081,1.949104042,1,0.214285714
8.91930399,0.41326,-0.75145,21.58279047,2.294487186,1.33875,0.03378,1.71390266,1,0.142857143
8.850038797,0.27722,-0.60726,31.92424355,2.024335474,1.34227,-0.05875,1.508143276,1,0.071428571
8.806169077,0.16817,-0.47188,52.36468501,1.753050164,1.31776,-0.14427,1.330325828,1,0.071428571
8.780363773,0.1,-0.34454,87.80363773,1.492045734,1.27259,-0.18565,1.172448105,1,0.071428571
8.770035786,0.1,-0.22136,87.70035786,1.246795419,1.22951,-0.18011,1.014058787,1,0.071428571
8.765527513,0.1,-0.11228,87.65527513,1.003840115,1.19709,-0.16481,0.838566954,1,0.071428571
8.762360668,0.1,-0.04546,87.62360668,0.765851165,1.16962,-0.15589,0.654786311,1,0.071428571
8.759778401,0.1,-0.01774,87.59778401,0.528937877,1.14051,-0.15677,0.463773116,1,0.071428571
8.753857381,0.1,-0.00073,87.53857381,0.301581189,1.10677,-0.14892,0.27248768,1,0.071428571
8.748354852,0.1,0.00921,87.48354852,0.082187377,1.0743,-0.12252,0.07650319,1,0.071428571
50.37322336,10.86385,-0.18009,4.636774565,4.307133739,1.35368,0.24126,3.181796096,1,1
48.19203792,10.87554,-0.4626,4.431231729,4.030454516,1.40437,0.19435,2.869937777,1,0.857142857
46.00441304,10.76705,-0.97045,4.272703576,3.742972131,1.43711,0.13896,2.604513316,1,0.785714286
43.85662932,10.51409,-1.49235,4.171224454,3.454561762,1.4605,0.09068,2.365328149,1,0.785714286
41.78408846,10.14647,-1.87375,4.118091165,3.157292774,1.47268,0.04466,2.143909589,1,0.785714286
39.80213109,9.72223,-2.08267,4.093930209,2.863887379,1.47261,0.02242,1.944769748,1,0.642857143
37.90529934,9.27605,-2.16455,4.08636212,2.57245391,1.47866,0.01065,1.739719685,1,0.5
36.09823862,8.83004,-2.16348,4.088117225,2.271763383,1.47851,-0.00743,1.536522163,1,0.285714286
34.37870858,8.39386,-2.11483,4.095697162,1.977600792,1.47219,-0.00807,1.34330541,1,0.285714286
32.74561281,7.97571,-2.04762,4.105667434,1.685480356,1.47315,-0.00222,1.144133561,1,0.214285714
31.19381704,7.57768,-1.99583,4.116539236,1.388860093,1.47471,-0.00669,0.941785227,1,0.142857143
29.71403634,7.18546,-1.97796,4.135300501,1.096465686,1.47527,-0.01604,0.743230518,1,0.071428571
28.3072686,6.78126,-1.95291,4.174337601,0.799683403,1.47352,-0.03983,0.542702782,1,0.071428571
26.98049538,6.36977,-1.83219,4.235709512,0.503062854,1.45972,-0.06288,0.344629692,1,0.071428571
25.74931176,5.98601,-1.53179,4.301581816,0.213310998,1.44235,-0.06906,0.147891287,1,0.071428571
32.06613081,4.00679,0.17847,8.002947699,5.270073134,0.77397,-0.22958,6.809143939,1,0.857142857
31.25616799,4.06046,0.11082,7.697691393,5.11366486,0.69967,-0.23778,7.308681036,1,0.785714286
30.43365351,4.07761,-0.02704,7.463600862,4.979115998,0.63075,-0.1342,7.893961154,1,0.571428571
29.61410616,4.054,-0.16091,7.304910251,4.862646983,0.59796,0.07165,8.132060644,1,0.571428571
28.80936255,4.00433,-0.24761,7.194552534,4.750159756,0.6295,0.32623,7.54592495,1,0.5
28.01285701,3.94228,-0.29406,7.105750229,4.622192054,0.72652,0.56037,6.362098846,1,0.357142857
27.23284915,3.87386,-0.29483,7.029900191,4.467889322,0.87711,0.72182,5.093875708,1,0.357142857
26.47048187,3.81822,-0.27524,6.932675925,4.275632397,1.05662,0.77665,4.046518518,1,0.357142857
25.71055551,3.77046,-0.28656,6.818943978,4.043840752,1.23691,0.71905,3.269308804,1,0.214285714
24.95622492,3.70531,-0.3072,6.735259647,3.774845623,1.38888,0.56892,2.717906243,1,0.214285714
24.22466637,3.64381,-0.30981,6.648169463,3.476796259,1.49265,0.36987,2.329277633,1,0.071428571
23.50620111,3.58549,-0.31721,6.555924327,3.167282731,1.54344,0.18,2.052093202,1,0.071428571
22.78964433,3.52031,-0.34661,6.473760643,2.854082483,1.55465,0.03068,1.835836029,1,0.142857143
22.09044485,3.44331,-0.35758,6.415467921,2.543953957,1.53715,-0.06182,1.654980943,1,0.142857143
21.4077315,3.36317,-0.32683,6.365343261,2.242427309,1.51169,-0.10338,1.483390979,1,0.071428571
20.74659064,3.29482,-0.24047,6.296729605,1.943270152,1.48346,-0.11596,1.309957904,1,0.071428571
20.09939838,3.26499,-0.15475,6.156036736,1.652347536,1.45809,-0.10867,1.133227397,1,0.071428571
19.44399725,3.24421,-0.12229,5.993445938,1.362216559,1.43843,-0.10177,0.947016232,1,0
18.79633042,3.22402,-0.11272,5.830091135,1.076532916,1.41868,-0.09597,0.75882716,1,0
18.15226005,3.20169,-0.11199,5.669587014,0.795307422,1.40311,-0.09606,0.566817585,1,0
17.51287434,3.1766,-0.10304,5.513087683,0.512622317,1.38368,-0.10708,0.370477507,1,0
16.88153552,3.15613,-0.07918,5.348808675,0.240158121,1.36139,-0.11399,0.176406556,1,0
10.40916435,3.87197,-0.45586,2.688338069,6.986044851,1.08863,-0.21058,6.417281217,1,1
9.642312407,3.7906,-0.88265,2.543743051,6.769486625,1.04556,-0.23367,6.474508039,1,1
8.885489677,3.59115,-1.48475,2.474274168,6.561372386,0.9904,-0.24621,6.624972119,1,1
